CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56084;02/04/2017;R$ 23,11;R$ 0,34;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36686;02/04/2017;R$ 46,54;R$ 0,68;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40247;02/04/2017;R$ 33,03;R$ 0,48;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40266;02/04/2017;R$ 546,49;R$ 8,06;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);46346;02/04/2017;R$ 628,77;R$ 9,67;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44809;02/04/2017;R$ 32,48;R$ 0,47;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40888;02/04/2017;R$ 32,56;R$ 0,48;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);60006;02/04/2017;R$ 32,48;R$ 0,49;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45791;02/04/2017;R$ 9,55;R$ 0,14;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56165;02/04/2017;R$ 2,48;R$ 0,03;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);37336;02/04/2017;R$ 32,61;R$ 0,46;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);45421;02/04/2017;R$ 269,47;R$ 3,81;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);18622;02/04/2017;R$ 21,01;R$ 0,31;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44575;02/04/2017;R$ 470,72;R$ 6,94;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36646;02/04/2017;R$ 33,09;R$ 0,48;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40578;02/04/2017;R$ 477,01;R$ 7,34;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36578;02/04/2017;R$ 12,16;R$ 0,17;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40567;02/04/2017;R$ 618,25;R$ 9,51;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40658;02/04/2017;R$ 635,80;R$ 9,78;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);37496;02/04/2017;R$ 935,26;R$ 14,39;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);33156;02/04/2017;R$ 32,75;R$ 0,48;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36771;02/04/2017;R$ 32,67;R$ 0,48;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);46175;02/04/2017;R$ 32,77;R$ 0,50;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40551;02/04/2017;R$ 659,45;R$ 10,15;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);53879;02/04/2017;R$ 32,88;R$ 0,46;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);25907;02/04/2017;R$ 441,81;R$ 6,24;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);61542;02/04/2017;R$ 32,41;R$ 0,22;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);35184;02/04/2017;R$ 547,79;R$ 7,74;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);45360;02/04/2017;R$ 451,65;R$ 6,38;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);30642;02/04/2017;R$ 922,60;R$ 14,20;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);34034;02/04/2017;R$ 1.950,10;R$ 13,29;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);34724;02/04/2017;R$ 625,23;R$ 4,26;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);31154;02/04/2017;R$ 459,43;R$ 3,13;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37115;02/04/2017;R$ 766,59;R$ 11,31;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);30157;02/04/2017;R$ 33,03;R$ 0,50;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45994;02/04/2017;R$ 32,59;R$ 0,48;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);60084;02/04/2017;R$ 33,00;R$ 0,50;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45794;02/04/2017;R$ 11,34;R$ 0,16;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44805;02/04/2017;R$ 19,19;R$ 0,28;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56127;02/04/2017;R$ 34,91;R$ 0,51;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45771;02/04/2017;R$ 17,49;R$ 0,25;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);18632;02/04/2017;R$ 2,62;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45939;02/04/2017;R$ 19,08;R$ 0,28;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);46037;02/04/2017;R$ 14,85;R$ 0,21;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45916;02/04/2017;R$ 20,28;R$ 0,29;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);35624;02/04/2017;R$ 437,35;R$ 6,18;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);45436;02/04/2017;R$ 662,90;R$ 9,37;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45956;02/04/2017;R$ 11,64;R$ 0,17;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36564;02/04/2017;R$ 2,75;R$ 0,04;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37175;02/04/2017;R$ 31,86;R$ 0,47;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45838;02/04/2017;R$ 40,04;R$ 0,59;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44967;02/04/2017;R$ 122,82;R$ 1,81;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);18598;02/04/2017;R$ 35,36;R$ 0,52;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56030;02/04/2017;R$ 15,65;R$ 0,23;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44613;02/04/2017;R$ 25,19;R$ 0,37;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44597;02/04/2017;R$ 55,07;R$ 0,81;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);52161;02/04/2017;R$ 34,52;R$ 0,23;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);38167;02/04/2017;R$ 468,12;R$ 7,20;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40650;02/04/2017;R$ 1.070,04;R$ 16,47;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);59977;02/04/2017;R$ 32,94;R$ 0,50;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);38133;02/04/2017;R$ 481,42;R$ 6,80;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);33043;02/04/2017;R$ 271,87;R$ 4,01;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);37452;02/04/2017;R$ 32,50;R$ 0,50;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);53917;02/04/2017;R$ 33,11;R$ 0,46;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);41822;02/04/2017;R$ 269,22;R$ 3,80;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);50569;02/04/2017;R$ 33,06;R$ 0,48;CALCULADO
