CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);7727;01/03/2017;R$ 26,68;R$ 0,34;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11169;01/03/2017;R$ 2,02;R$ 0,01;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34051;01/03/2017;R$ 8,00;R$ 0,10;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4138;01/03/2017;R$ 4,11;R$ 0,00;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);25027;01/03/2017;R$ 9,29;R$ 0,10;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);29837;01/03/2017;R$ 45,19;R$ 0,51;CALCULADO
13.574.594/0511-81;BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A;108273;01/03/2017;R$ 27,90;R$ 1,70;CALCULADO
13.574.594/0511-81;BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A;108191;01/03/2017;R$ 3,00;R$ 0,18;CALCULADO
76.189.406/0044-66;CONDOR SUPER CENTER LTDA;58956;01/03/2017;R$ 24,76;R$ 0,00;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);35135;01/03/2017;R$ 6,10;R$ 0,06;CALCULADO
75.962.886/0004-04;Therezinha Lucia Marcio Manfroi & Cia Ltda;10845;01/03/2017;R$ 127,60;R$ 1,33;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12500;01/03/2017;R$ 13,58;R$ 0,17;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11192;01/03/2017;R$ 2,20;R$ 0,01;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4043;01/03/2017;R$ 5,50;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4137;01/03/2017;R$ 10,00;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12565;01/03/2017;R$ 46,02;R$ 0,58;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28485;01/03/2017;R$ 595,59;R$ 3,08;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4122;01/03/2017;R$ 10,12;R$ 0,00;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);30981;01/03/2017;R$ 10,73;R$ 0,11;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;3971;01/03/2017;R$ 12,96;R$ 0,00;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);32996;01/03/2017;R$ 138,08;R$ 1,69;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79891;01/03/2017;R$ 28,00;R$ 0,02;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79886;01/03/2017;R$ 39,50;R$ 0,03;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42108;01/03/2017;R$ 15,19;R$ 0,17;CALCULADO
15.870.761/0002-52;V TRAIANO LANCHONETE LTDA ME;13318;01/03/2017;R$ 10,00;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4234;01/03/2017;R$ 30,27;R$ 0,00;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);32870;01/03/2017;R$ 9,89;R$ 0,10;CALCULADO
15.870.761/0002-52;V TRAIANO LANCHONETE LTDA ME;13321;01/03/2017;R$ 30,00;R$ 0,02;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);30887;01/03/2017;R$ 16,19;R$ 0,17;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);11178;01/03/2017;R$ 26,25;R$ 0,29;CALCULADO
